,true_labels,predicted_labels
856,0,0
3657,4,4
4602,6,6
4368,5,5
3868,4,4
2295,2,2
4239,5,5
2634,2,2
350,0,0
3017,3,3
1351,1,1
724,0,0
1815,1,1
287,0,0
841,0,0
1360,1,1
2364,2,2
1295,1,1
2269,2,2
2211,2,2
1519,1,1
2114,2,2
230,0,0
2447,2,2
2063,1,1
2619,2,2
3924,5,5
2827,3,3
3729,4,4
3230,3,3
1684,1,1
3967,5,5
3747,4,4
2525,2,2
3109,3,3
2463,2,2
1936,1,1
3142,3,3
4342,5,5
2647,2,2
3252,3,3
1784,1,1
561,0,0
151,0,0
4815,6,6
4196,5,5
2650,2,2
2103,2,2
3980,5,5
4119,5,5
3655,4,4
621,0,0
29,0,0
4365,5,5
228,0,0
4288,5,5
2333,2,2
2986,3,3
3010,3,3
4384,5,5
2458,2,2
168,0,0
2748,2,2
4692,6,6
414,0,0
279,0,0
644,0,0
2369,2,2
3622,3,3
3071,3,3
711,0,0
4394,5,5
3151,3,3
2715,2,2
3740,4,4
3106,3,3
3718,4,4
179,0,0
471,0,0
721,0,0
4607,6,6
1210,1,1
1876,1,1
4232,5,5
79,0,0
1566,1,1
4576,6,6
84,0,0
4230,5,5
144,0,0
3372,3,3
3770,4,4
3610,3,3
3811,4,4
3758,4,4
1937,1,1
3803,4,4
227,0,0
2341,2,2
4864,6,6
486,0,0
3676,4,4
1630,1,1
1669,1,1
911,0,0
1115,0,0
505,0,0
8,0,0
4184,5,5
3592,3,3
2021,1,1
3455,3,3
296,0,0
4831,6,6
2859,3,3
1061,0,0
3321,3,3
2957,3,3
4418,5,5
1538,1,1
426,0,0
297,0,0
4343,5,5
1482,1,1
2374,2,2
23,0,0
1744,1,1
3114,3,3
2118,2,2
733,0,0
3634,3,3
1272,1,1
2835,3,3
4049,5,5
2662,2,2
4240,5,5
2755,2,2
3650,4,4
3225,3,3
3875,4,4
2698,2,2
4224,5,5
3043,3,3
4187,5,5
100,0,0
1412,1,1
2677,2,2
4400,5,5
2422,2,2
624,0,0
2153,2,2
2042,1,1
1533,1,1
1024,0,0
3105,3,3
4635,6,6
1670,1,1
1662,1,1
3378,3,3
1231,1,1
1117,0,0
468,0,0
2251,2,2
3257,3,3
1437,1,1
3543,3,3
2688,2,2
248,0,0
4250,5,5
3669,4,4
1370,1,1
2024,1,1
1340,1,1
2770,2,2
3434,3,3
4388,5,5
33,0,0
2746,2,2
4552,6,6
1545,1,1
2851,3,3
4701,6,6
1491,1,1
3665,4,4
1244,1,1
1261,1,1
2673,2,2
485,0,0
746,0,0
1743,1,1
2195,2,2
2630,2,2
1632,1,1
4022,5,5
4265,5,5
