,data,flag
0,"nba mvp smelling like rose, but others have case, too the nba mvp race looks cut and dry. chicago bulls point guard derrick rose is the winner, right? it's not that easy.",0
1,"on soccer: no messi means no chance for arsenal the barcelona great once again showed how he is in a class of his own in his team's 3-1 victory tuesday, which sent it to the next round of the champions league soccer tournament.",0
2,hines ward earns a spot in dancing with the stars finals hines ward has danced his way into the finals. the pittsburgh steelers receiver earned a berth in the finals of dancing with the stars with an ...,0
3,"on baseball: red sox put on their rally caps for jeter derek jeter has his fans in the boston clubhouse, where red sox hitters have firsthand knowledge about slow starts.",0
4,"spurs end road skid, top hawks tony parker scored 26 points and san antonio moved closer to home-court advantage in the playoffs by ending a four-game road losing streak with ...",0
5,knicks president walsh out; thomas talk will intensify new york knicks president donnie walsh says he is leaving after he could not work out a contract renewal to his liking with madison square garden ...,0
6,"duke adjusts to life with irving kyrie irving's return meant more shuffling for duke coach mike krzyzewski, but he considers that a good problem, not a hindrance",0
7,questions about the bracket and beyond which teams will be the no. 1 seeds and which conference will produce the eventual champion?,0
8,roundup: durant and cook lift thunder to victory kevin durant scored 19 points as oklahoma city followed its triple-overtime triumph with a 99-72 blowout of memphis.,0
9,"sharks 2, red wings 1 : sharks slip past red wings in overtime benn ferriero scored in his playoff debut on a deflected goal that gave the san jose sharks a victory over the red wings on friday night in game 1.",0
10,"devils? parise yearns to return, but he won?t hurry without zach parise, who had knee surgery in november, the devils have won 20 of 25 games in an improbable drive toward a playoff berth.",0
11,rose denies comments on performance-enhancing drugs the chicago point guard had been quoted by espn the magazine as saying performance-enhancing drugs had a high influence in the n.b.a.,0
12,"olympic champion wanjiru dies after fall kenyan olympic marathon champion samuel wanjiru plunged to his death from the first-floor balcony of his home after the athlete's wife found him in bed with another woman, police told reuters.",0
13,"bidders tee up for fortune golf unit: sources initial takeover offers for fortune brands' golf unit are expected to be submitted today by a range of bidders, including adidas ag, nike inc and private equity firms, sources familiar with the situation said on friday.",0
14,ando lifts japanese spirits after striking gold it took japan's miki ando just four minutes to boost the spirits of her devastated nation after she unexpectedly glided to gold at the world figure skating championships.,0
15,"duke adjusts to life with irving kyrie irving's return meant more shuffling for duke coach mike krzyzewski, but he considers that a good problem, not a hindrance",0
16,chung backs bin hammam in fifa presidential race mohamed bin hammam received a boost to his campaign to become fifa president when he was backed by his former foe and ex-fifa executive committee member chung mong-joon tuesday.,0
17,knicks president walsh out; thomas talk will intensify new york knicks president donnie walsh says he is leaving after he could not work out a contract renewal to his liking with madison square garden ...,0
18,"an early celebration leaves the heat with a game 2 hangover the clock showed 7:14 when dwyane wade hit a 3 that pushed miami's lead to 15 points. after lebron james and wade danced, the mavericks went on a 22-5 run.",0
19,hines ward earns a spot in dancing with the stars finals hines ward has danced his way into the finals. the pittsburgh steelers receiver earned a berth in the finals of dancing with the stars with an ...,0
20,police identify patriots' meriweather as 'being present' at feb. shooting orange county (fla.) sheriffs plan to interview new england patriots pro bowl safety brandon meriweather in an investigation of last month's ...,0
21,phillies rally for three runs in 9th to beat astros in opener pinch-hitter john mayberry jr. lined an rbi single off closer brandon lyon that capped a three-run rally in the bottom of the ninth inning friday ...,0
22,"court agrees to expedite n.f.l.'s appeal the decision means a ruling could be made nearly two months before the regular season begins, time for the sides to work out a deal without delaying the season.",0
23,"deal gives lebron james a piece of liverpool lebron james is getting into the soccer business, aligning with the owners of the boston red sox.",0
24,kyle phillips' first career home run lifts padres past braves pinch-hitter kyle phillips broke a 2-all tie in the 10th inning with his first career home run and the san diego padres beat the atlanta braves ...,0
25,"andre ethier extends hit streak to 26, but padres top dodgers will venable scored the go-ahead run on a wild pitch by reliever matt guerrier with two outs in the eighth inning, and the san diego padres got ...",0
26,"scenarios: what it would mean if bruins win, if lightning win the boston bruins are hosting the tampa bay lightning friday night (8 et, versus) in game 7 of the eastern conference finals. the winner would ...",0
27,"lakers to work with glaad on fighting gay slurs going into the nba playoffs this weekend, the los angeles lakers have landed a new partner.",0
28,"derrick rose rallies bulls past bucks derrick rose hit three straight shots in the final two minutes, rallying the chicago bulls to a 95-87 victory over the milwaukee bucks on saturday ...",0
29,"photo replay: march 11 a look at the day in sports, from street hockey at the white house to cricket in bangladesh.",0
30,tampa bay strikes lightning fast in game 1 win over boston the lightning scored three goals in 1:25 in the first period to propel tampa bay to a 5-2 win over boston in game 1 of the eastern conference ...,0
31,"nadal struggles, djokovic's streak rolls on in rome rafael nadal struggled past 148th-ranked qualifier paolo lorenzi 6-7 (5-7), 6-4, 6-0 in his opening match at the italian open on wednesday, looking ...",0
32,"eastern finals: game 7 preview with the best-of-seven eastern conference finals tied 3-3, the boston bruins will host the tampa bay lightning in game 7 friday (8 p.m. et,  ...",0
33,"mets seek $200 million for portion of the team the mets' owners are also telling potential bidders they might sell a portion of sny, their cable network, but that such a negotiation would take place separately.",0
34,"big east replay: march 11 images from the semifinals of the big east basketball tournament at madison square garden, featuring uconn vs. syracuse and louisville against notre dame.",0
35,ncaa to look at san diego case after fbi case is complete the ncaa plans to conduct its own investigation into an alleged gambling ring at the university of san diego but will wait until the fbi completes ...,0
36,"chad ochocinco will get tutorial before trying bullriding challenge the proof will be in the doing, but the professional bull riders announced thursday it had ""confirmed"" cincinnati bengals wide receiver chad ...",0
37,"as spring training winds down, baseball's trade market may heat up there's little romance to baseball in the dying days of march. it's not the ""hot stove league"" or the ""midsummer classic,"" and there's no snappy ...",0
38,"no tsunami but fifa's corruption storm rages on though jack warner's threatened soccer ""tsunami"" remains stuck in the doldrums, the corruption storm raging around fifa shows no sign of abating after another extraordinary week for the game's governing body.",0
39,"antagonists abound in the initial plot line twelve penalties were called wednesday, when the boston bruins and the vancouver canucks met for only the second time this season.",0
40,"byu's brandon davies plans on playing for cougars next season brigham young forward brandon davies, who was suspended on march 1 for violating the school's honor code, plans to return next year to play for ...",0
41,rangers starter hunter out six weeks with groin strain texas rangers starting pitcher tommy hunter faces at least six weeks out and will miss the start of the season after straining his right groin muscle.,0
42,"the rail: morning line: animal kingdom's outspoken owner morning line for friday, may 13",0
43,"shields helps rays finish strong road trip, beats indians james shields pitched seven strong innings to finally beat cleveland, and the tampa bay rays did some more road repair to their record with a ...",0
44,"losing nfl could be big win for other fall sporting events they won't brag publicly. but if the nfl lockout leads to cancelled games, there'll be winners.",0
45,"golden oldie watson wins senior pga title in playoff a decade after winning his first senior pga championship, tom watson won the title for a second time with a playoff victory over fellow american david eger in louisville, kentucky on sunday.",0
46,"alumni group has plan to track brain health of former players with sidney crosby revealing friday that he had to curtail his light skating because of the return of concussion symptoms, the question of head trauma in hockey was thrown back into the spotlight.",0
47,"nfl imposes 12 percent pay cut on league employees the nfl has reduced salaries of its employees by 12 percent according to newsday's bob glauber, who added that the slashing of pay would increase ...",0
48,directv won't charge for nfl sunday ticket until lockout ends fans who consume the nfl at home on directv are getting a benefit that many fans who attend games each week aren't: they don't have to pay up ...,0
49,"walker, florida win dogfight with ucla to reach sweet 16 florida's little man erving walker came up big again, scoring 21 points and hitting several clutch shots down the stretch as the gators beat ...",0
50,"roundup: cubs' late outburst knocks red sox out of first place boston, which started 2-10, spent about four hours tied with tampa bay atop the american league east.",0
51,"after benching, a king of memphis regains his form fans were outraged when memphis's joe jackson, a hometown favorite, was benched.",0
